date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
36616 730576 7.150800125 7.87386379 13.52075903 0.009819048 0.020901017 1.033485721 1.088270697 1.652268775 2.782797309 4.8340706793880495 0.009781485 0.064221157 0.057663456 1.18161419 0.05268778 0.000394631 0.047562639 1.244526391 0.01381207 220.2228 0.035307005 0.075982157 0.00701863 60652.8 3283.2 20304 25885.16129 10108.8 2.9029 114.35256
36617 730577 7.2943378 7.878056925 13.62918173 0.009878003 0.020584486 1.02109205 1.055861011 1.668692537 2.854960036 4.874918724406154 0.00988535 0.061962835 0.059097746 1.224806403 0.052177478 0.000364903 0.044661548 1.194902818 0.012771599 222.1884 0.035668188 0.075679611 0.007334665 50803.2 2592 17884.8 34560 22550.4 2.9321 73.75536
36618 730578 7.43267685 7.882326758 13.70865302 0.009938344 0.0202837 1.009887983 1.026334624 1.684631351 2.927413372 4.870540862129129 0.009986539 0.059882412 0.060571462 1.263588453 0.051859541 0.000346381 0.042128544 1.163985514 0.012123347 224.154 0.03604065 0.075374489 0.007660569 41990.4 1900.8 17884.8 34560 22550.4 2.9503 57.97008
36619 730579 7.565 7.886666667 13.75666667 0.01 0.02 1 1 1.7 3 4.855448993649706 0.010084542 0.058 0.062083333 1.2975 0.05175 0.00034 0.04 1.153333333 0.0119 226.1196 0.036421167 0.075067279 0.007993522 34041.6 1900.8 17884.8 34560 22550.4 2.9565 95.21064
36620 730580 7.695204744 7.892110772 13.78772206 0.010083738 0.019721572 0.990886427 0.975131715 1.715806481 3.07957478 4.850187077655564 0.01018604 0.056194734 0.064101451 1.329083536 0.054133822 0.000341094 0.038080924 1.160724708 0.011938298 228.0852 0.036806519 0.074758471 0.008330704 34041.6 1900.8 17884.8 34560 22550.4 2.9497 151.02612
36621 730581 7.82763656 7.89959359 13.81797756 0.010208326 0.019436459 0.981920583 0.949854623 1.733024494 3.172353454 4.846874887104158 0.010297431 0.054337628 0.067060242 1.361117288 0.061068578 0.000344356 0.036155424 1.182265283 0.01205247 230.0508 0.037193481 0.074448556 0.008669296 34041.6 1900.8 17884.8 34560 22550.4 2.9299 131.61204
36622 730582 7.962150147 7.908959087 13.84741542 0.010370699 0.019145793 0.973101438 0.924252603 1.75151737 3.277220028 4.844310801927249 0.010417779 0.052436615 0.070907945 1.393494521 0.0722292 0.000349755 0.034228515 1.217004736 0.01224143 232.0038 0.037578833 0.074138024 0.009006478 25574.4 1900.8 17884.8 34560 22550.4 2.8979 222.3774
36623 730583 8.098600206 7.920051229 13.87601791 0.01056779 0.018850705 0.964427959 0.898409533 1.771148438 3.393058507 4.840728183209582 0.010546147 0.050499628 0.075592798 1.426108498 0.087290622 0.00035726 0.032305215 1.263992744 0.012504094 233.9694 0.03795935 0.073827364 0.009339431 18835.2 1900.8 17884.8 34560 22550.4 2.8546 245.30688
36624 730584 8.236841437 7.932713983 13.90376727 0.010796533 0.018552326 0.955899114 0.872409292 1.79178103 3.518752898 4.821408082132062 0.010681601 0.048534601 0.081063039 1.458852482 0.105927778 0.000366839 0.030390539 1.322278985 0.012839377 235.9224 0.038331812 0.073517065 0.009665335 13046.4 1382.4 17884.8 34560 22550.4 2.801 139.41396
36625 730585 8.376728539 7.946791315 13.93064577 0.011053862 0.018251788 0.947513872 0.846335757 1.813278477 3.653187204 4.788826018996137 0.010823205 0.046549466 0.087266906 1.491619737 0.1278156 0.000378463 0.028489505 1.390913136 0.013246194 237.8754 0.038692995 0.073207618 0.00998137 8208 1382.4 15465.6 34560 22550.4 2.7378 204.48288
